questions,answers
What is the value of x in the equation 3x + 4 = 13?,x = 3
"If 2x + 7 = 15, what is the value of x?",x = 4
Simplify the expression 2x + 3y + 2x + 4y.,4x + 7y
"If 3x - 5 = 7, what is the value of x?",x = 4
Factorize the expression 3x^2 + 6x.,3x(x + 2)
What is the value of y in the equation 2y - 8 = 10?, y = 9
Simplify the expression 5x - 2x + 3x.,6x
"If 4x + 3 = 27, what is the value of x?",x = 6
What is the value of x in the equation 2(x + 4) = 16?,x = 4
Simplify the expression 4x^2 - 2x^2 + 6x.,2x^2 + 6x
What is the value of x in the equation 3x + 5 = 14?,x = 3
Solve for y: 4y - 7 = 9,y = 4
Simplify the expression 2x + 3x - 5x,-4x
What is the slope-intercept form of the equation of a line with slope 2 and y-intercept -3?,y = 2x - 3
What is the standard form of the equation of a line with slope 1/2 and y-intercept 4?,2x - y = 8
Solve for x: 5(x + 3) = 40,x = 5
What is the degree of the polynomial 3x^2 + 5x + 1?,2
Factor the expression x^2 - 9,(x - 3)(x + 3)
What is the value of y in the equation 2y - 7 = 11?,y = 9
Simplify the expression 4x + 6x + 8x,18x
"What is the slope of the line passing through the points (2, 4) and (6, 8)?",1
"What is the y-intercept of the line passing through the points (-2, 5) and (3, -4)?",3
Solve for x: 3x - 4 = 8,x = 4
What is the degree of the polynomial 4x^3 - 2x^2 + 7x + 1?,3
Factor the expression x^2 + 6x + 8,(x + 2)(x + 4)
What is the value of y in the equation 3y + 2 = 11?,y = 3
Simplify the expression 2x + 4x + 6x,12x
What is the slope-intercept form of the equation of a line with slope -3 and y-intercept 7?,y = -3x + 7
What is the standard form of the equation of a line with slope -2/3 and y-intercept 5?,2x + 3y = 15
Solve for x: 2(x + 5) = 16,x = 3
What is the degree of the polynomial 2x^4 - 3x^3 + 6x^2 - 4x + 1?,4
Factor the expression x^2 - 16,(x - 4)(x + 4)
What is the value of y in the equation 5y - 3 = 22?,y = 5
Simplify the expression 3x + 5x - 7x,x
"What is the slope of the line passing through the points (-2, 5) and (4, 9)?",2-Jan
"What is the y-intercept of the line passing through the points (3, 4) and (-1, -2)?",2
Solve for x: 4x + 7 = 23,x = 4
What is the degree of the polynomial 6x^2 + 9x + 2?,2
Factor the expression x^2 - 25,(x - 5)(x + 5)
What is the slope-intercept form of the equation of a line with slope -1/4 and y-intercept 2?,y = (-1/4)x + 2
What is the standard form of the equation of a line with slope 3/2 and y-intercept -5?,-3x + 2y = -10
Solve for x: 2x + 3 = 11,x = 4
What is the degree of the polynomial 3x^2 + 2x + 1?,2
Factor the expression x^2 - 7x + 10,(x - 5)(x - 2)
What is the value of y in the equation 5y - 2 = 23?,y = 5
Simplify the expression 3x + 5x + 7x,15x
"What is the slope of the line passing through the points (-3, 4) and (2, -1)?",-1
"What is the y-intercept of the line passing through the points (0, 3) and (-4, -1)?",3
Solve for x: 4(x - 3) = 32,x = 11
What is the degree of the polynomial 2x^3 - 4x^2 + 7x - 1?,3
Factor the expression x^2 - 8x + 12,(x - 6)(x - 2)
What is the value of y in the equation 3y - 2 = 13?,y = 5
Simplify the expression 5x - 3x + 2x,4x
What is the slope-intercept form of the equation of a line with slope 5/3 and y-intercept -4?,y = (5/3)x - 4
What is the standard form of the equation of a line with slope -3/4 and y-intercept 2?,3x + 4y = 14
Solve for x: 7(x - 4) = 35,x = 9
What is the degree of the polynomial 4x^4 - 2x^3 + 5x^2 - 3x + 2?,4
Factor the expression x^2 + 5x + 6,(x + 2)(x + 3)
What is the value of y in the equation 2y + 5 = 13?,y = 4
Simplify the expression 3x + 2x - x,4x
"What is the slope of the line passing through the points (0, 1) and (-1, 4)?",-3
"What is the y-intercept of the line passing through the points (2, 1) and (-1, -2)?",3-May
Solve for x: 5x - 8 = 17,x = 5
What is the degree of the polynomial 2x^2 + 3x + 4?,2
Factor the expression x^2 - 5x - 14,(x - 7)(x + 2)
What is the value of y in the equation 3y + 4 = 19?,y = 5
Simplify the expression 2x + 3x - 2x,3x
What is the slope-intercept form of the equation of a line with slope 4 and y-intercept -2?,y = 4x - 2
What is the standard form of the equation of a line with slope -2/5 and y-intercept 8?,2x + 5y = 40
Solve for x: 3(x - 1) = 24,x = 9
What is the degree of the polynomial x^4 - 3x^2 + 2x - 1?,4
Factor the expression x^2 - 10x + 24,(x - 6)(x - 4)
What is the value of y in the equation 4y + 3 = 19?,y = 4
Simplify the expression 4x - 5x + 6x,5x
"What is the slope of the line passing through the points (2, 3) and (5, 7)?",3-Apr
"What is the y-intercept of the line passing through the points (-1, 5) and (3, -1)?",6
Solve for x: 2x - 5 = 13,x = 9
What is the degree of the polynomial 5x^3 - 2x^2 + x + 3?,3
Factor the expression x^2 - 2x - 8,(x - 4)(x + 2)
What is the value of y in the equation 6y - 7 = 29?,y = 6
Simplify the expression 2x + 3x + 2,5x + 2
What is the slope-intercept form of the equation of a line with slope -3/2 and y-intercept 6?,y = (-3/2)x + 6
What is the standard form of the equation of a line with slope 1/4 and y-intercept 3?,-x + 4y = 12
Solve for x: 4(x + 2) = 36,x = 7
What is the degree of the polynomial 3x^2 + x + 4?,2
Factor the expression x^2 - 6x + 9,(x - 3)^2
What is the value of y in the equation 3y - 1 = 8?,y = 3
Simplify the expression 2x + 3x - 4x,x
"What is the slope of the line passing through the points (1, 2) and (1, -3)?",undefined
"What is the y-intercept of the line passing through the points (-3, -4) and (5, 2)?",-2
Solve for x: 6(x - 2) = 48,x = 10
What is the degree of the polynomial 4x^3 - 3x + 2?,3
Factor the expression x^2 + 3x + 2,(x + 1)(x + 2)
What is the value of y in the equation 5y - 4 = 21?,y = 5
Simplify the expression 4x + 2x - 5x,x
What is the standard form of the equation of a line with slope 2 and y-intercept -3?,-2x + y = -3
Solve for x: 2x + 7 = 15,x = 4
What is the degree of the polynomial 3x^3 - 4x^2 + 7x - 2?,3
Factor the expression x^2 + 6x + 9,(x + 3)^2
What is the value of y in the equation 2y + 6 = 14?,y = 4
Simplify the expression 3x + 4 - 2x,x + 4
"What is the slope of the line passing through the points (-2, -3) and (4, 5)?",1
"What is the y-intercept of the line passing through the points (2, 3) and (-1, 6)?",7
Solve for x: 5(x + 2) = 45,x = 7
What is the degree of the polynomial 4x^2 - 5x + 1?,2
Factor the expression x^2 - 5x - 14,(x - 7)(x + 2)
What is the value of y in the equation 3y - 5 = 10?,y = 5
Simplify the expression 4x + 3x - 2x,5x
What is the slope-intercept form of the equation of a line with slope 1/2 and y-intercept 2?,y = (1/2)x + 2
What is the standard form of the equation of a line with slope -4/3 and y-intercept 5?,4x + 3y = 15
Solve for x: 3(x - 3) = 15,x = 8
What is the slope-intercept form of the equation of a line with slope -3 and y-intercept 7?,y = -3x + 7
What is the standard form of the equation of a line with slope 2/3 and y-intercept -4?,-2x + 3y = -12
Solve for x: 4x - 9 = 7,x = 4
What is the degree of the polynomial 2x^4 - 3x^2 + 5x + 1?,4
Factor the expression x^2 - 4x - 21,(x - 7)(x + 3)
What is the value of y in the equation 2y - 3 = 13?,y = 8
Simplify the expression 5x + 3 - 2x,3x + 3
"What is the slope of the line passing through the points (3, -2) and (-1, 4)?",-1.5
"What is the y-intercept of the line passing through the points (-2, 5) and (4, 9)?",4
Solve for x: 2(x + 1) = 10,x = 4
What is the degree of the polynomial 3x^3 - x^2 + 2x - 1?,3
Factor the expression x^2 + 7x + 12,(x + 3)(x + 4)
What is the value of y in the equation 4y + 2 = 18?,y = 4
Simplify the expression 2x + 3x + 4x,9x
What is the slope-intercept form of the equation of a line with slope 1/3 and y-intercept -2?,y = (1/3)x - 2
What is the standard form of the equation of a line with slope -4 and y-intercept 6?,4x + y = 6
What is the slope-intercept form of the equation of a line with slope -2/5 and y-intercept 3?,y = (-2/5)x + 3
What is the standard form of the equation of a line with slope 3/4 and y-intercept 2?,-3x + 4y = 2
Solve for x: 6x - 9 = 27,x = 6
What is the degree of the polynomial 5x^2 - 2x + 1?,2
Factor the expression x^2 - 3x - 40,(x - 8)(x + 5)
What is the value of y in the equation 3y + 2 = 17?,y = 5
Simplify the expression 4x + 3 - 3x,x + 3
"What is the slope of the line passing through the points (4, 2) and (-2, -4)?",1
"What is the y-intercept of the line passing through the points (1, 4) and (5, 2)?",17/4
Solve for x: 3(x - 2) = 21,x = 9
What is the degree of the polynomial 2x^3 + 3x^2 - x + 5?,3
Factor the expression x^2 + 8x + 16,(x + 4)^2
What is the value of y in the equation 5y - 8 = 7?,y = 3
Simplify the expression 2x + 3x + 5x,10x
What is the slope-intercept form of the equation of a line with slope -4/3 and y-intercept -5?,y = (-4/3)x - 5
What is the standard form of the equation of a line with slope 5 and y-intercept -2?,-5x + y = -2
